Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Dev_state, Genotype, Library
hovu, PRJNA481620, SRR7543962, treated, Aluminium, 1, 10uM, 24h, XZ29, root, 20d, G.T, single
hovu, PRJNA481620, SRR7543963, treated, Aluminium, 2, 10uM, 24h, XZ29, root, 20d, G.T, single
hovu, PRJNA481620, SRR7543964, control, Aluminium, 1, 0uM, 24h, XZ29, root, 20d, G.T, single
hovu, PRJNA481620, SRR7543965, control, Aluminium, 2, 0uM, 24h, XZ29, root, 20d, G.T, single
hovu, PRJNA481620, SRR7543966, treated, Aluminium, 1, 10uM, 24h, GoldenPromise, root, 20d, G.S, single
hovu, PRJNA481620, SRR7543967, treated, Aluminium, 2, 10uM, 24h, GoldenPromise, root, 20d, G.S, single
hovu, PRJNA481620, SRR7543968, control, Aluminium, 1, 0uM, 24h, GoldenPromise, root, 20d, G.S, single
hovu, PRJNA481620, SRR7543969, control, Aluminium, 2, 0uM, 24h, GoldenPromise, root, 20d, G.S, single
