Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
glma, PRJNA720229, SRR14182731, treated, salt, 3, 0.9%, 4h, glycine-soja-C08, root, seedling-stage, G.0, single
glma, PRJNA720229, SRR14182732, treated, salt, 2, 0.9%, 4h, glycine-soja-C08, root, seedling-stage, G.0, single
glma, PRJNA720229, SRR14182733, treated, salt, 1, 0.9%, 4h, glycine-soja-C08, root, seedling-stage, G.0, single
glma, PRJNA720229, SRR14182734, treated, salt, 3, 0.9%, 48h, glycine-soja-C08, root, seedling-stage, G.0, single
glma, PRJNA720229, SRR14182735, treated, salt, 2, 0.9%, 48h, glycine-soja-C08, root, seedling-stage, G.0, single
glma, PRJNA720229, SRR14182736, treated, salt, 1, 0.9%, 48h, glycine-soja-C08, root, seedling-stage, G.0, single
glma, PRJNA720229, SRR14182737, treated, salt, 1, 0.9%, 1h, glycine-soja-C08, leaves, seedling-stage, G.0, single
glma, PRJNA720229, SRR14182738, treated, salt, 3, 0.9%, 2h, glycine-soja-C08, root, seedling-stage, G.0, single
glma, PRJNA720229, SRR14182739, treated, salt, 2, 0.9%, 2h, glycine-soja-C08, root, seedling-stage, G.0, single
glma, PRJNA720229, SRR14182740, treated, salt, 1, 0.9%, 2h, glycine-soja-C08, root, seedling-stage, G.0, single
glma, PRJNA720229, SRR14182741, treated, salt, 3, 0.9%, 24h, glycine-soja-C08, root, seedling-stage, G.0, single
glma, PRJNA720229, SRR14182742, treated, salt, 2, 0.9%, 24h, glycine-soja-C08, root, seedling-stage, G.0, single
glma, PRJNA720229, SRR14182743, treated, salt, 1, 0.9%, 24h, glycine-soja-C08, root, seedling-stage, G.0, single
glma, PRJNA720229, SRR14182744, treated, salt, 3, 0.9%, 1h, glycine-soja-C08, root, seedling-stage, G.0, single
glma, PRJNA720229, SRR14182745, treated, salt, 2, 0.9%, 1h, glycine-soja-C08, root, seedling-stage, G.0, single
glma, PRJNA720229, SRR14182746, treated, salt, 1, 0.9%, 1h, glycine-soja-C08, root, seedling-stage, G.0, single
glma, PRJNA720229, SRR14182747, control, salt, 3, L.0, 0h:1h:2h:4h:24h:48h, glycine-soja-C08, root, seedling-stage, G.0, single
glma, PRJNA720229, SRR14182748, control, salt, 3, L.0, 0h:1h:2h:4h:24h:48h, glycine-soja-C08, leaves, seedling-stage, G.0, single
glma, PRJNA720229, SRR14182749, control, salt, 2, L.0, 0h:1h:2h:4h:24h:48h, glycine-soja-C08, root, seedling-stage, G.0, single
glma, PRJNA720229, SRR14182750, control, salt, 1, L.0, 0h:1h:2h:4h:24h:48h, glycine-soja-C08, root, seedling-stage, G.0, single
glma, PRJNA720229, SRR14182751, treated, salt, 3, 0.9%, 4h, glycine-soja-C08, leaves, seedling-stage, G.0, single
glma, PRJNA720229, SRR14182752, treated, salt, 2, 0.9%, 4h, glycine-soja-C08, leaves, seedling-stage, G.0, single
glma, PRJNA720229, SRR14182753, treated, salt, 1, 0.9%, 4h, glycine-soja-C08, leaves, seedling-stage, G.0, single
glma, PRJNA720229, SRR14182754, treated, salt, 3, 0.9%, 48h, glycine-soja-C08, leaves, seedling-stage, G.0, single
glma, PRJNA720229, SRR14182755, treated, salt, 2, 0.9%, 48h, glycine-soja-C08, leaves, seedling-stage, G.0, single
glma, PRJNA720229, SRR14182756, treated, salt, 1, 0.9%, 48h, glycine-soja-C08, leaves, seedling-stage, G.0, single
glma, PRJNA720229, SRR14182757, treated, salt, 3, 0.9%, 2h, glycine-soja-C08, leaves, seedling-stage, G.0, single
glma, PRJNA720229, SRR14182758, treated, salt, 2, 0.9%, 2h, glycine-soja-C08, leaves, seedling-stage, G.0, single
glma, PRJNA720229, SRR14182759, control, salt, 2, L.0, 0h:1h:2h:4h:24h:48h, glycine-soja-C08, leaves, seedling-stage, G.0, single
glma, PRJNA720229, SRR14182760, control, salt, 1, L.0, 0h:1h:2h:4h:24h:48h, glycine-soja-C08, leaves, seedling-stage, G.0, single
